trade_date,close,decision,reason,position_state,entry_date,entry_price,structural_stop,position_fraction
2022-02-23,845.0,HOLD,close 845.000 above trailing stop 810.910,IN_POSITION,2022-01-12,828.0,810.9103137109464,1.0
2022-02-24,848.0,HOLD,close 848.000 above trailing stop 811.345,IN_POSITION,2022-01-12,828.0,811.3452913030217,1.0
2022-03-02,882.0,HOLD,close 882.000 above trailing stop 837.713,IN_POSITION,2022-01-12,828.0,837.7134847813772,1.0
2022-03-03,886.0,HOLD,close 886.000 above trailing stop 837.713,IN_POSITION,2022-01-12,828.0,837.7134847813772,1.0
2022-03-06,882.0,HOLD,close 882.000 above trailing stop 837.713,IN_POSITION,2022-01-12,828.0,837.7134847813772,1.0
2022-03-07,880.0,HOLD,close 880.000 above trailing stop 837.713,IN_POSITION,2022-01-12,828.0,837.7134847813772,1.0
2022-03-08,881.0,HOLD,close 881.000 above trailing stop 838.601,IN_POSITION,2022-01-12,828.0,838.6006179415065,1.0
2022-03-09,878.0,HOLD,close 878.000 above trailing stop 838.986,IN_POSITION,2022-01-12,828.0,838.9862880885418,1.0
2022-03-10,903.0,HOLD,close 903.000 above trailing stop 850.844,IN_POSITION,2022-01-12,828.0,850.8444103679317,1.0
2022-03-13,906.0,HOLD,close 906.000 above trailing stop 854.570,IN_POSITION,2022-01-12,828.0,854.5698096273651,1.0
2022-03-14,909.0,HOLD,close 909.000 above trailing stop 859.243,IN_POSITION,2022-01-12,828.0,859.2433946539819,1.0
2022-03-15,891.0,HOLD,close 891.000 above trailing stop 859.243,IN_POSITION,2022-01-12,828.0,859.2433946539819,1.0
2022-03-16,905.0,HOLD,close 905.000 above trailing stop 859.243,IN_POSITION,2022-01-12,828.0,859.2433946539819,1.0
2022-03-17,905.0,HOLD,close 905.000 above trailing stop 859.243,IN_POSITION,2022-01-12,828.0,859.2433946539819,1.0
2022-03-20,904.0,HOLD,close 904.000 above trailing stop 859.435,IN_POSITION,2022-01-12,828.0,859.4353939689811,1.0
2022-03-21,902.0,HOLD,close 902.000 above trailing stop 861.226,IN_POSITION,2022-01-12,828.0,861.2257229711967,1.0
2022-03-22,908.0,HOLD,close 908.000 above trailing stop 863.138,IN_POSITION,2022-01-12,828.0,863.138171330397,1.0
2022-03-23,910.0,HOLD,close 910.000 above trailing stop 863.664,IN_POSITION,2022-01-12,828.0,863.6640162353685,1.0
2022-03-24,928.0,HOLD,close 928.000 above trailing stop 878.724,IN_POSITION,2022-01-12,828.0,878.7237293614137,1.0
2022-03-27,918.0,HOLD,close 918.000 above trailing stop 879.243,IN_POSITION,2022-01-12,828.0,879.2434629784556,1.0
2022-03-28,923.0,HOLD,close 923.000 above trailing stop 879.243,IN_POSITION,2022-01-12,828.0,879.2434629784556,1.0
2022-03-29,924.0,HOLD,close 924.000 above trailing stop 880.460,IN_POSITION,2022-01-12,828.0,880.4599247110152,1.0
2022-03-30,920.0,HOLD,close 920.000 above trailing stop 880.460,IN_POSITION,2022-01-12,828.0,880.4599247110152,1.0
2022-03-31,919.0,HOLD,close 919.000 above trailing stop 881.259,IN_POSITION,2022-01-12,828.0,881.2588126334774,1.0
2022-04-03,913.0,HOLD,close 913.000 above trailing stop 881.259,IN_POSITION,2022-01-12,828.0,881.2588126334774,1.0
2022-04-04,850.0,SELL_SIGNAL,close 850.000 broke trailing stop 881.259 (chandelier 3.5x ATR14 off high 928.000),EXIT_SIGNAL,2022-01-12,828.0,881.2588126334774,1.0
2022-04-05,872.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-04-06,882.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-04-07,879.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
